text,author,display_name,date,likes,quotes,replies,reposts,uri,url,reply_to,reply_to_uri,reply_to_url,query
"IMO, Mr. Garcia's attorneys need to have proof of life. Due to Trump's defiance, either Mr. Garcia is unalive or severally beaten and they are buying time to hide the truth. 

It's absolutely disgusting how disrespectful this administration is toward human beings, especially against its own people.",jinx2024.bsky.social,Jinx,2025-04-13T06:44:01.216Z,13,0,1,0,at://did:plc:yjz5hsr7zyiqr7rl6mqp3rqh/app.bsky.feed.post/3lmoh3g2hks2s,https://bsky.app/profile/did:plc:yjz5hsr7zyiqr7rl6mqp3rqh/post/3lmoh3g2hks2s,Yes,at://did:plc:xjc7mkotpenvhh6ffewkdpyn/app.bsky.feed.post/3lmnnw6xue22z,https://bsky.app/profile/did:plc:xjc7mkotpenvhh6ffewkdpyn/post/3lmnnw6xue22z,unalive
Curtis Yarvin wants to unalive the underclass and use their carcasses to fuel public transportation.,toddhecker.bsky.social,Todd,2025-04-10T23:32:19.313Z,20,0,3,3,at://did:plc:3omyddwto3b7ehra26ju2fkz/app.bsky.feed.post/3lminzn5mg22p,https://bsky.app/profile/did:plc:3omyddwto3b7ehra26ju2fkz/post/3lminzn5mg22p,Yes,at://did:plc:qap4n4w32tlx4ygtfuvcglid/app.bsky.feed.post/3lmig7g5w7k2q,https://bsky.app/profile/did:plc:qap4n4w32tlx4ygtfuvcglid/post/3lmig7g5w7k2q,unalive
@lordcaesar.bsky.social had a gun pointed to my head and threatened to unalive me if I didn't comply and do this trend :c /j,k9cyanide.bsky.social, ✨️K9-CYANIDE✨️,2025-04-12T06:43:39.447Z,6,0,0,0,at://did:plc:znh2dhc56mct5tuas5iokuzy/app.bsky.feed.post/3lmlwlvunnc22,https://bsky.app/profile/did:plc:znh2dhc56mct5tuas5iokuzy/post/3lmlwlvunnc22,Yes,at://did:plc:znh2dhc56mct5tuas5iokuzy/app.bsky.feed.post/3lmlwltxz7k22,https://bsky.app/profile/did:plc:znh2dhc56mct5tuas5iokuzy/post/3lmlwltxz7k22,unalive
"I’m going to find the screenwriter who decided to include the word “unalive” in this script and smack them repeatedly with a creeper plushie.

boxd.it/9nPtNR

#Letterboxd #movies #moviesky #filmsky 🎬",bestandworstlines.bsky.social,Best and Worst Lines,2025-04-12T02:01:14.135Z,7,0,0,0,at://did:plc:nlaq2y2qvaw7l53xicgie5n3/app.bsky.feed.post/3lmlgstjjis2y,https://bsky.app/profile/did:plc:nlaq2y2qvaw7l53xicgie5n3/post/3lmlgstjjis2y,No,,,unalive
"AI based on medical algorithms from HIPAA info they stole I’m guessing - like an older person with terminal cancer… Poof - unalive!. And then AI combing our social media and private email servers etc. Anyone who’s “anti-Trump”… Poof - unalive! Or at least, accounts frozen or simpler, just emptied.",whitneyherrig.bsky.social,,2025-04-10T21:21:55.158Z,8,0,0,2,at://did:plc:zpmvlvfuex4s7fk7ghi5r4wq/app.bsky.feed.post/3lmigqhhe2c2l,https://bsky.app/profile/did:plc:zpmvlvfuex4s7fk7ghi5r4wq/post/3lmigqhhe2c2l,Yes,at://did:plc:452yodlm3morvtpbsrsum23m/app.bsky.feed.post/3lmifiacqvc2a,https://bsky.app/profile/did:plc:452yodlm3morvtpbsrsum23m/post/3lmifiacqvc2a,unalive
"They’re giving El Salvador enough time to unalive him-

Dead men don’t talk",jennyfmtheblock.bsky.social,NEVER TRUMPER,2025-04-11T23:18:23.571Z,19,0,1,0,at://did:plc:an3mgddddokht56gi4doq4ms/app.bsky.feed.post/3lml5pnlk4k24,https://bsky.app/profile/did:plc:an3mgddddokht56gi4doq4ms/post/3lml5pnlk4k24,Yes,at://did:plc:dyqokrrzmg7glyjwozjy6ng4/app.bsky.feed.post/3lmki7i2yw22b,https://bsky.app/profile/did:plc:dyqokrrzmg7glyjwozjy6ng4/post/3lmki7i2yw22b,unalive
It’s also why we suck dick so well. We’re hoping to choke and unalive😭,greatvaluesza.bsky.social,Fabiola Demetra,2025-04-07T19:50:04.860Z,125,40,16,23,at://did:plc:6fpvlptu2cvxoz44pwttf4lk/app.bsky.feed.post/3lmaq7i26n22n,https://bsky.app/profile/did:plc:6fpvlptu2cvxoz44pwttf4lk/post/3lmaq7i26n22n,Yes,at://did:plc:5qu6fzha5r54pts54n4n3rp2/app.bsky.feed.post/3lmaolvaomk2z,https://bsky.app/profile/did:plc:5qu6fzha5r54pts54n4n3rp2/post/3lmaolvaomk2z,unalive
"You know, I actually don't think I've come across posts on bsky using ""unalive"" or ""icky"" and that immediately makes it a better platform than x. ( actually, because it speaks to the maturity, and likely age, of the users. Especially when talking about subjects that warrant mature language.)",aelynn000.bsky.social,Aelynn 🇨🇦,2025-04-15T14:30:39.330Z,8,0,1,0,at://did:plc:ufkihiyvaxsojishdysh2khx/app.bsky.feed.post/3lmuc3o2poc2p,https://bsky.app/profile/did:plc:ufkihiyvaxsojishdysh2khx/post/3lmuc3o2poc2p,No,,,unalive
"well. that was certainly a movie that i have seen. one of the movies of all time for sure! they seriously said the word ""unalive"" what are we doing man💔",highoninfinity.swifties.social,evan⸆⸉ 🏳️‍⚧️,2025-04-09T22:57:49.703Z,18,0,3,0,at://did:plc:mexqtl4sctqqbjl22ndn5zcq/app.bsky.feed.post/3lmg3mzxfus2s,https://bsky.app/profile/did:plc:mexqtl4sctqqbjl22ndn5zcq/post/3lmg3mzxfus2s,No,,,unalive
Honestly it’s like one of my intrusive thoughts. Not a great time when it pops up. And if I ever was I would certainly doxx myself so ppl could unalive me.,legallyblindgamer.bsky.social,LegallyBlindGaming727,2025-04-11T18:22:00.887Z,6,0,1,0,at://did:plc:odbym47yfdig223iozavtaox/app.bsky.feed.post/3lmkn5op3rk2i,https://bsky.app/profile/did:plc:odbym47yfdig223iozavtaox/post/3lmkn5op3rk2i,Yes,at://did:plc:odbym47yfdig223iozavtaox/app.bsky.feed.post/3lmkmxifn3k2i,https://bsky.app/profile/did:plc:odbym47yfdig223iozavtaox/post/3lmkmxifn3k2i,unalive
